commit,parent1,parent2,ancestor,is pr,added lines,deleted lines,devs parent1,devs parent2,time,nr files,added files,deleted files,renamed files,copied files,modified files,nr commits1,nr commits2,density1,density2,fix,bug,feature,improve,document,refactor,update,add,remove,use,delete,change,messages_min,messages_max,messages_mean,messages_median,conflict,avg_density,avg_density_cat,added_lines_per_commit,deleted_lines_per_commit,files_per_commit,files_per_developer,messages_per_commit,commit_per_developer_on_branch1,commit_per_developer_on_branch2
17317,19525,11278,5468,0,11,11,6,1,1,1,0,0,0,0,3,77,2,0,0,0,0,0,0,0,0,15,0,0,0,0,0,44,109,67.28571428571428,72.0,1,0.0,,0.13924050632911392,0.13924050632911392,0.012658227848101266,0.14285714285714285,0.8517179023508137,12.833333333333334,2.0
16112,14780,17453,8358,1,2,0,3,1,14,1,0,0,0,0,1,6,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,51,94,68.83333333333334,68.5,0,0.0,,0.2857142857142857,0.0,0.14285714285714285,0.25,9.833333333333334,2.0,1.0
81,25272,5852,17380,1,1,0,9,1,53,1,0,0,0,0,1,28,1,8,1,2,0,0,0,0,0,1,16,0,0,0,0,24,63,46.92857142857143,46.5,0,4.5,2,0.034482758620689655,0.0,0.034482758620689655,0.1,1.6182266009852218,3.111111111111111,1.0
7927,1996,7256,9167,0,329,2,1,1,19,6,3,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,26.0,26.0,0,0.0,,65.8,0.4,1.2,3.0,5.2,2.0,3.0
26248,17832,12134,3149,1,14,0,2,1,24,1,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,115,122,118.5,118.5,0,0.5,1,4.666666666666667,0.0,0.3333333333333333,0.3333333333333333,39.5,1.0,1.0
12751,8203,26333,17006,1,30,0,2,1,0,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,88,87.0,87.0,0,0.0,,10.0,0.0,0.3333333333333333,0.3333333333333333,29.0,1.0,1.0
9253,2319,17054,8022,1,125,105,5,1,22,1,0,0,0,0,4,21,1,2,0,4,1,1,0,0,0,0,4,2,2,0,1,45,217,86.61904761904762,78.0,0,1.0,1,5.681818181818182,4.7727272727272725,0.045454545454545456,0.16666666666666666,3.9372294372294374,4.2,1.0
26928,11001,1034,12811,0,44,0,7,1,220,2,0,0,0,0,3,80,1,54,0,19,1,0,0,1,0,3,22,3,4,0,2,76,180,104.475,98.5,0,27.0,3,0.5432098765432098,0.0,0.024691358024691357,0.25,1.2898148148148147,11.428571428571429,1.0
1379,23194,19474,12340,0,101,614,8,1,332,2,0,8,1,0,18,48,7,18,0,5,0,1,0,0,1,9,11,3,1,1,5,34,238,102.89583333333334,93.5,1,9.0,3,1.8363636363636364,11.163636363636364,0.03636363636363636,0.2222222222222222,1.8708333333333336,6.0,7.0
8529,18769,12571,1550,1,1,0,21,1,1580,1,0,0,0,0,1,37,1,0,1,1,0,2,0,0,0,1,16,0,0,0,0,40,89,63.945945945945944,70.0,0,0.5,1,0.02631578947368421,0.0,0.02631578947368421,0.045454545454545456,1.6827880512091038,1.7619047619047619,1.0
2840,3037,20546,10155,1,2,0,2,1,20,1,0,0,0,0,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,65,93,79.0,79.0,0,0.0,,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,26.333333333333332,1.0,1.0
13562,2150,13866,1900,1,66,22,5,1,23,1,0,0,0,0,2,17,1,2,0,1,0,0,0,0,0,0,2,0,1,0,1,57,183,107.64705882352942,105.0,0,1.0,1,3.6666666666666665,1.2222222222222223,0.05555555555555555,0.16666666666666666,5.980392156862745,3.4,1.0
10221,22918,8751,10299,0,20,1,2,1,128,1,0,0,0,0,3,4,4,4,4,0,0,0,0,0,0,1,2,1,1,0,1,31,77,48.25,42.5,0,4.0,2,2.5,0.125,0.125,0.3333333333333333,6.03125,2.0,4.0
10012,20487,6884,7856,1,1,0,34,1,5536,1,0,0,0,0,1,105,1,0,1,13,0,1,0,1,2,8,49,2,0,1,1,19,94,45.409523809523805,43.0,0,0.5,1,0.009433962264150943,0.0,0.009433962264150943,0.02857142857142857,0.42839173405211134,3.088235294117647,1.0
5817,23014,11377,1252,1,2,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,53,53,53.0,53.0,0,0.0,,1.0,0.0,0.5,0.5,26.5,1.0,1.0
17250,22088,3261,9480,0,1251,441,1,15,200,7,4,1,7,0,43,12,53,1,28,7,1,0,0,0,0,3,10,2,5,0,17,30,206,85.66037735849056,89.0,1,14.5,3,19.246153846153845,6.7846153846153845,0.1076923076923077,0.4375,1.3178519593613933,12.0,3.533333333333333
